Srno,No. of Instances,OS with version,Machine Class,Machine Family,Series,Machine Type,vCPUs,RAM,BootDisk Capacity,Gpu no,Gpu Type,WorkStation,Datacenter Location,Avg no. of hrs,Hrs/Min,Days/Month,Zonal/Regional,HDD,SSD,Balanced SSD,Snapshot,,index,OS with version,No. of Instances,Machine Family,Machine type,On-Demand URL,On-Demand Price,SUD URL,SUD Price,1-Year URL,1-Year Price,3-Year URL,3-Year Price
1,1.00,rhel,,Compute-optimized,c2,STANDARD,16,60,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
2,1.00,rhel,,Compute-optimized,c2d,HIGHCPU,4,8,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
5,1.00,rhel,,Compute-optimized,c2d,HIGHCPU,8,16,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
7,1.00,rhel,,Compute-optimized,c2d,HIGHCPU,16,32,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
13,1.00,free,,Compute-optimized,c2d,HIGHCPU,16,32,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
14,1.00,free,,Compute-optimized,c2d,HIGHCPU,16,32,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
24,1.00,win,,Compute-optimized,c2d,HIGHCPU,8,16,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
30,1.00,win,,Compute-optimized,c2d,HIGHCPU,16,32,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
37,1.00,win,,Compute-optimized,c2d,HIGHCPU,4,8,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
40,1.00,win,,Compute-optimized,c2,STANDARD,8,32,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
44,1.00,rhel,,Compute-optimized,c2d,STANDARD,8,32,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
46,1.00,win,,Compute-optimized,c2d,HIGHCPU,4,8,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
52,1.00,win,,Compute-optimized,c2d,STANDARD,8,32,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
54,1.00,win,,Compute-optimized,c2d,HIGHCPU,4,8,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
56,1.00,win,,Compute-optimized,c2d,HIGHCPU,16,32,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
60,1.00,win,,Compute-optimized,c2d,STANDARD,8,32,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
94,1.00,rhel,,Compute-optimized,c2d,HIGHCPU,8,16,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
95,1.00,rhel,,Compute-optimized,c2d,HIGHCPU,8,16,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
96,1.00,win,,Compute-optimized,c2d,HIGHCPU,8,16,,,,,asia-south1,,,,,,,,,,,,,,,,,,,,,,
